assign-to(p7541, r407)
assign-to(p8877, r787)
assign-to(p10046, r769)
assign-to(p11377, r5951)
assign-to(p6225, r7921)
assign-to(p8880, r9766)
assign-to(p8881, r12996)
assign-to(p8882, r2799)
assign-to(p8889, r13492)
assign-to(p10052, r9320)
assign-to(p8856, r11058)
assign-to(p8863, r5232)
assign-to(p11354, r13024)
assign-to(p12685, r14819)
assign-to(p12686, r9687)
assign-to(p12687, r4587)
assign-to(p11359, r13476)
assign-to(p7535, r12812)
assign-to(p12691, r8984)
assign-to(p7581, r6204)
assign-to(p10013, r4358)
assign-to(p10011, r1269)
assign-to(p11341, r4298)
assign-to(p12673, r2752)
assign-to(p7582, r2338)
assign-to(p6257, r12940)
assign-to(p12677, r5996)
assign-to(p10002, r3952)
assign-to(p6265, r5740)
assign-to(p6263, r14437)
assign-to(p6269, r8402)
assign-to(p7596, r5597)
assign-to(p13998, r9636)
assign-to(p11340, r8381)
assign-to(p13982, r12301)
assign-to(p11320, r3122)
assign-to(p13984, r6461)
assign-to(p12653, r2223)
assign-to(p13983, r13108)
assign-to(p6239, r9606)
assign-to(p6238, r14009)
assign-to(p11317, r6844)
assign-to(p11310, r12957)
assign-to(p6247, r14361)
assign-to(p7572, r4787)
assign-to(p11314, r1481)
assign-to(p12646, r2796)
assign-to(p12638, r5945)
assign-to(p6294, r10097)
assign-to(p11304, r6039)
assign-to(p13958, r12754)
assign-to(p13948, r2165)
assign-to(p12618, r2201)
assign-to(p12619, r9564)
assign-to(p13935, r13716)
assign-to(p6280, r6594)
assign-to(p13928, r2948)
assign-to(p13901, r7518)
assign-to(p13906, r11552)
assign-to(p13908, r5067)
assign-to(p13900, r4167)
assign-to(p8804, r14227)
assign-to(p7506, r12884)
assign-to(p7507, r11442)
assign-to(p10088, r6365)
assign-to(p8844, r7934)
assign-to(p10069, r5285)
assign-to(p10067, r6058)
assign-to(p8752, r10629)
assign-to(p8753, r9163)
assign-to(p8754, r14755)
assign-to(p8755, r4999)
assign-to(p8757, r1920)
assign-to(p10183, r8506)
assign-to(p10168, r5690)
assign-to(p8760, r9476)
assign-to(p6102, r5773)
assign-to(p7438, r7970)
assign-to(p10174, r13251)
assign-to(p8730, r14422)
assign-to(p7407, r13368)
assign-to(p11490, r11924)
assign-to(p7403, r9495)
assign-to(p7404, r3408)
assign-to(p10148, r5681)
assign-to(p8741, r13852)
assign-to(p8745, r2890)
assign-to(p8791, r8467)
assign-to(p10133, r14807)
assign-to(p7465, r8434)
assign-to(p12794, r13417)
assign-to(p11464, r5362)
assign-to(p12799, r10818)
assign-to(p10120, r10867)
assign-to(p12785, r1551)
assign-to(p6147, r12368)
assign-to(p12789, r508)
assign-to(p11461, r3348)
assign-to(p10115, r789)
assign-to(p11440, r4636)
assign-to(p8775, r1765)
assign-to(p7440, r11865)
assign-to(p10118, r7752)
assign-to(p7442, r791)
assign-to(p11434, r7832)
assign-to(p10107, r14127)
assign-to(p11435, r4754)
assign-to(p7458, r3448)
assign-to(p12751, r5177)
assign-to(p12752, r1336)
assign-to(p11423, r7546)
assign-to(p12746, r11242)
assign-to(p11416, r7965)
assign-to(p11418, r1133)
assign-to(p11419, r8369)
assign-to(p6182, r7112)
assign-to(p11411, r4065)
assign-to(p11414, r6299)
assign-to(p11407, r11581)
assign-to(p7487, r11489)
assign-to(p11401, r8698)
assign-to(p7490, r6965)
assign-to(p7493, r6633)
assign-to(p6164, r1962)
assign-to(p12723, r3393)
assign-to(p12703, r2512)
assign-to(p8723, r12436)
assign-to(p8702, r1960)
assign-to(p8703, r9137)
assign-to(p8709, r10003)
assign-to(p10191, r4885)
assign-to(p7787, r7666)
assign-to(p5124, r2537)
assign-to(p6459, r9659)
assign-to(p10288, r4134)
assign-to(p7793, r12697)
assign-to(p5138, r7782)
assign-to(p10293, r11905)
assign-to(p10277, r1499)
assign-to(p10276, r5847)
assign-to(p6433, r5694)
assign-to(p6438, r6619)
assign-to(p6439, r7124)
assign-to(p10266, r13779)
assign-to(p10265, r9220)
assign-to(p10264, r160)
assign-to(p11599, r14773)
assign-to(p6443, r14515)
assign-to(p7777, r9359)
assign-to(p10259, r3314)
assign-to(p5160, r10498)
assign-to(p6491, r11474)
assign-to(p10254, r7096)
assign-to(p6495, r2926)
assign-to(p5168, r843)
assign-to(p11589, r3344)
assign-to(p10260, r11260)
assign-to(p10244, r11584)
assign-to(p10242, r11079)
assign-to(p11573, r731)
assign-to(p5179, r8745)
assign-to(p5177, r13462)
assign-to(p10249, r8086)
assign-to(p11580, r10532)
assign-to(p10233, r4513)
assign-to(p10232, r494)
assign-to(p10221, r5229)
assign-to(p12881, r2476)
assign-to(p5153, r8488)
assign-to(p6483, r12379)
assign-to(p5158, r23)
assign-to(p6486, r10569)
assign-to(p11542, r4187)
assign-to(p10219, r11547)
assign-to(p12868, r13101)
assign-to(p5181, r13540)
assign-to(p5180, r8637)
assign-to(p11522, r5470)
assign-to(p12848, r5532)
assign-to(p11518, r2234)
assign-to(p5195, r7101)
assign-to(p11510, r11112)
assign-to(p11504, r6727)
assign-to(p11502, r14243)
assign-to(p12825, r14079)
assign-to(p12828, r64)
assign-to(p12801, r7461)
assign-to(p12805, r7402)
assign-to(p12910, r9874)
assign-to(p12919, r764)
assign-to(p12905, r1275)
assign-to(p7706, r11418)
assign-to(p7707, r7366)
assign-to(p7703, r12947)
assign-to(p7708, r5933)
assign-to(p7712, r12753)
assign-to(p6414, r13429)
assign-to(p7751, r5392)
assign-to(p6422, r11163)
assign-to(p6421, r522)
assign-to(p7750, r8377)
assign-to(p6427, r6760)
assign-to(p7756, r5344)
assign-to(p7730, r4249)
assign-to(p6404, r12541)
assign-to(p7738, r5436)
assign-to(p6409, r1969)
assign-to(p5000, r8080)
assign-to(p8995, r10045)
assign-to(p5004, r7823)
assign-to(p8998, r273)
assign-to(p7669, r3700)
assign-to(p6346, r4627)
assign-to(p7670, r12085)
assign-to(p7671, r2851)
assign-to(p6347, r7847)
assign-to(p7678, r4110)
assign-to(p7642, r10782)
assign-to(p6312, r12537)
assign-to(p6311, r8360)
assign-to(p6314, r7963)
assign-to(p7645, r11390)
assign-to(p6320, r0)
assign-to(p8984, r12903)
assign-to(p7659, r7210)
assign-to(p10390, r2698)
assign-to(p5041, r4777)
assign-to(p10368, r5745)
assign-to(p10365, r2428)
assign-to(p5050, r1152)
assign-to(p10364, r4367)
assign-to(p5055, r6033)
assign-to(p5052, r7095)
assign-to(p11696, r12418)
assign-to(p6389, r1768)
assign-to(p10356, r6483)
assign-to(p10354, r8985)
assign-to(p7686, r9897)
assign-to(p11683, r2491)
assign-to(p5023, r816)
assign-to(p10359, r640)
assign-to(p5033, r7241)
assign-to(p5031, r1531)
assign-to(p6362, r10885)
assign-to(p5030, r6223)
assign-to(p6366, r5384)
assign-to(p11677, r10720)
assign-to(p10348, r12904)
assign-to(p12999, r9306)
assign-to(p10334, r533)
assign-to(p10332, r6756)
assign-to(p11662, r9926)
assign-to(p11663, r10621)
assign-to(p11664, r10344)
assign-to(p11670, r10167)
assign-to(p5095, r13908)
assign-to(p11646, r3121)
assign-to(p5060, r5496)
assign-to(p6397, r13119)
assign-to(p10319, r11520)
assign-to(p12973, r13694)
assign-to(p11644, r3490)
assign-to(p6398, r1957)
assign-to(p11645, r10749)
assign-to(p5075, r6185)
assign-to(p12964, r14831)
assign-to(p12950, r5224)
